listing_id,url,title,property_type,price,price_azn,location,address,rooms,area,floor,total_floors,description,features,agent_name,phone,date_posted,listing_code,view_count,has_document,is_credit_available,latitude,longitude,scraped_at
gardashlari,https://arenda.az/kiraye-gunluk-2-otaqli-yeni-tikili-nesimi-rayonu-merdanov-gardashlari,Kirayə (günlük) Yeni Tikili,Yeni Tikili,50,50,"28 May m., 28 Mall, Nəsimi r.",Merdanov Gardashlari,2,70,14,18,Tibb universitetinin yani. Gunluk kiraye Yenitikili 2 otagli. Gaz Kombi istilik sistemi. Wifi. Tv. Binada parking . 14 mertebe. Etrafda gipermarketlar restoranlar Elage whatsapla. Giymet 50-70 azn deyishe biler.,"Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Kombi, Kondisioner, Mətbəx mebeli, Avtodayanacaq, Lift, Balkon, Əşyalı",Farah (Əmlak sahibi),(070) 821-18-88,31.12.2025,9923282,31,Xeyr,Xeyr,40.400313265457704,49.83151744003974,2026-01-01T15:02:17.050655
1,https://arenda.az/kiraye-ayliq-obyekt-abseron-rayonu-novxani-novхany-1,Kirayə (aylıq) Obyekt,Obyekt,800,800,"Həzi Aslanov m., Əhmədli, Xətai r.",Новханы,,1200,,,"Anbar, sklad (склад) və ya istehsal üçün sahə (1200 kv.m.) şəhər mərkəzindən 15 dəqiqəlik məsafədə. Balkonlu iki mərtəbəli ofis (4 böyük otaq 135 kv.m, üç sanitar qovşağı təşkil etmək imkanı ilə), üstəlik birinci mərtəbədə sanitar qovşağı. Tavanın hündürlüyü - 6 m. 24 saat mühafizə və video nəzarət. İşıq, su, mətbəx, duş, şəhər telefonu, internet və s. Anbara ağır maşınlar üçün rahat şəkildə giriş- çıxış mövcuddur (tıxac yoxdur, asfalt).","Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Kombi, Avtodayanacaq, Balkon",Ильгар (Əmlak sahibi),(077) 744-99-55,31.12.2025,929727,12,Xeyr,Xeyr,40.5221023509715,49.80227442291799,2026-01-01T15:02:17.359310
44,https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-20-yanvar-metrosu-yasamal-qes-hesen-bey-zerdabi-44,Satılır Yeni Tikili,Yeni Tikili,269 000,269 000,"Elmlər akademiyası m., Yasamal qəs., Yasamal r.",Hesen bey Zerdabi,2,52,12,19,"Melissa ASP yasayis kompleksi. Menzil Kupcali, Dovlet İpotekasina yararli ideal temirli menzildir. Ev 1 otagdan 2 otaga duzelmedir ve Tam Əşyali sekilde satilir.Alib kiraye vermek ucun ideal variantdir.Bina geniş yaşilligli heyet, usag oyun meydancasi, yeralti garaj, aptek, usag bağcasi, supermarket her bir şerait ile temin olunub. Kompleks 20 Yanvar metrosuna piyada 2 deq mesafede yerlesir, Zerdabi ve Tibilisi prospektlerine birbasa çixisi var. Xidmet haqqi 1%.","Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, Lift, PVC pəncərə, Balkon, Kombi, Kondisioner, Mətbəx mebeli, Əşyalı, Avtodayanacaq, Düzəlmə, Hovuz",Umid (Vasitəçi),(050) 991-00-88,31.12.2025,8755120,22,Bəli,Bəli,40.400228942042354,49.80755515722386,2026-01-01T15:02:18.044245
yani,https://arenda.az/kiraye-gunluk-1-otaqli-kohne-tikili-sebail-rayonu-iceriseher-metrosu-nazirler-kabinetinin-yani,Kirayə (günlük) Köhnə Tikili,Köhnə Tikili,50,50,"28 May m., 28 Mall, Nəsimi r.",Nazirlər kabinetinin yanı,1,40,3,5,"Diqqət! SAATLİQ VƏ 1 GÜNLÜK V E R İ L M İ R. ANCAQ AİLƏYƏ VƏ YA İŞ ADAMİNA NƏZƏRDƏ TUTULUB! MİNİMUM 3 GÜN VERİLİR Super temirli,muasir mebel ve texnikayla yığılmış menzili gundelik kirayeye verirem. Ev öz evimdir. 1 otaq 40 kvm sahesi var. Şekiller eve aitdir. Ev yalniz ecnebi qonaqlara ve aileliler ucun verilir. ƏRƏB TURİSTLƏRİ ÜÇÜN NARAHAT ETMƏYİN!! Ciddi şexsler narahat etsin! . Qiymet:50-70 manat","Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli",Gundelik kiraye ev (Əmlak sahibi),(055) 275-40-40,30.12.2025,6702879,41,Xeyr,Xeyr,40.37336527040737,49.835700083690874,2026-01-01T15:02:18.219762
3,https://arenda.az/kiraye-gunluk-3-otaqli-kohne-tikili-sebail-rayonu-iceriseher-metrosu-iceri-seher-metrosu-3,Kirayə (günlük) Köhnə Tikili,Köhnə Tikili,50,50,"28 May m., 28 Mall, Nəsimi r.",İçəri Şəhər metrosu,3,105,5,9,,"Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Kombi, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli, Avtodayanacaq, Lift, Balkon, Əşyalı",Gundelik kiraye ev (Əmlak sahibi),(055) 275-40-40,30.12.2025,1124121,46,Xeyr,Xeyr,40.37336527040737,49.835700083690874,2026-01-01T15:02:18.488438
kompleksi,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-elmler-akademiyasi-metrosu-yasamal-qes-yasamal-rayonu-park-yasamal-yasayis-kompleksi,Satılır Yeni Tikili,Yeni Tikili,340 000,340 000,"İnşaatçılar m., Yasamal qəs., Yasamal r.",Yasamal Rayonu Park Yasamal Yasayis kompleksi,3,86,12,16,Mənzil Satilir Yasamal Rayonu Park Yasamal Yasayis kompleksində 3 otag Radnoy 86 kv 16\12.Əla təmirli təmirdən sonra yasayis olmayib mənzildə.Mənzil Yelcəkəndi skvaznoy.2 sanuzel (hamam tualet).Qaz su isig və lift daimdir.1 boyuk Qonag otagi 2 yatag otagi 1 mətbəxt.Real olan mustəriyə endirim olunacag.Ətrafli məlumat ucun əlaqə saxlayin.Ofis haqqi 1%,"Təmirli, Qaz, Su, İşıq, Lift, Balkon, Kombi, Avtodayanacaq",Adil (Vasitəçi),(070) 281-00-93,01.01.2026,9355050,309,Bəli,Bəli,40.37336527040737,49.835700083690874,2026-01-01T15:02:19.299146
uzbeuz,https://arenda.az/satilir-4-otaqli-kohne-tikili-bineqedi-rayonu-azadliq-metrosu-8-ci-mikrorayon-8ci-mikrarayon-azadliq-metrosunun-yani-kontakhomela-uzbeuz,Satılır Köhnə Tikili,Köhnə Tikili / Leninqrad,230 000,230 000,"Nizami m., Yasamal r.",8ci Mikrarayon. Azadlıq metrosunun yanı. Kontakhomela üzbəüz.,4,100,6,9,"Təcili ev satılır. Azadlıq metrosunun düz yanında. Kontokthomela üzbəüz. Qeyd edim ki, blokdan çıxan kimi 1-2 dəq ərzində metroya çatırsan. Mənzilimiz Lenqrad layihəli 9 mərtəbəli binanın 6cı mərtəbəsində yerləşir. 4 otaqlıdı və 100 m² dır. Ev mərkəzi istlik sistemi ilə təmin olunub. Su, qaz işıq daimidi. Evimizin 3 balkonu var. Qeyd edim ki, evimiz binanın 1ci blokunda yerləşir. Əlavə olaraq evimiz əşyalı satılır. MƏLUMAT VASTƏÇİ PULU 2%Dİ NƏZƏRƏ ALIB ZƏNG VURUN.","Təmirli, Qaz, Su, İşıq, İnternet, Mərkəzi qızdırıcı sistem, Mətbəx mebeli, Əşyalı",Hüseyn (Vasitəçi),(077) 363-64-14,30.12.2025,1711191,50,Bəli,Xeyr,,,2026-01-01T15:02:19.552822
novostroyka,https://arenda.az/kiraye-gunluk-3-otaqli-yeni-tikili-nesimi-rayonu-28-may-metrosu-28-mall-in-arxasinda-novostroyka,Kirayə (günlük) Yeni Tikili,Yeni Tikili,50,50,"28 May m., 28 Mall, Səbail r.",28 Mall-ın arxasında novostroyka.,3,157,4,18,"Ev 1 gecəlik və saatlıq verilmir!. Minimum 3 günlük verilir. Yeni tikilmiş binada Super temirli,muasir mebel ve texnikayla yığılmış avanqard menzili gundelik kirayeye verirem. Ev öz evimdir. 3 otaq 157 kvm sahesi var. Şekiller eve aitdir. Ev yalniz ecnebi qonaqlar ve aileliler ucun verilir. Ciddi şexsler narahat etsin! Qiymət otaq sayından asılı olaraq 50 manatdan 120 manatadək dəyişir. 1 otaq 50 manat, 2 otaq 60 manat, 3 otaq 80-100 manat, 4 otaq 120 manat.","Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Kombi, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli, Avtodayanacaq, Lift, Balkon, Əşyalı",Asim (Əmlak sahibi),(055) 275-40-40,30.12.2025,555607,51,Xeyr,Xeyr,40.407229501974165,49.85458283515618,2026-01-01T15:02:19.920775
9,https://arenda.az/satilir-2-otaqli-yeni-tikili-nerimanov-rayonu-genclik-metrosu-baki-seheri-nerimanov-rayonu-9,Satılır Yeni Tikili,Yeni Tikili,220 000,220 000,"İnşaatçılar m., Yasamal r.","Bakı şəhəri, Nərimanov rayonu",2,59,8,9,"TƏCİLİ SATILIR!!!!!!!!!!!!ŞƏHƏRİN hərin ƏN ƏLVERİŞLİ VƏ PRESTİJLİ YERİNDƏ!!!!! Ünvan: Gənclik metrosuna yaxın, Gənclik Mall-ın yanı Mərtəbə: 9 / 8 Sahə: 59 kv.m Otaq sayı: 2 otaq (Studiya tipli mətbəx) Vəziyyət: Əşyalı Həyətdə geniş maşın dayanacağı mövcuddur .",,Miras Group (Vasitəçi),(070) 311-95-61,29.12.2025,6433494,38,Bəli,Xeyr,,,2026-01-01T15:02:20.757737
33,https://arenda.az/kiraye-gunluk-2-otaqli-yeni-tikili-nesimi-rayonu-28-may-metrosu-e-suleyman-33,Kirayə (günlük) Yeni Tikili,Yeni Tikili,50,50,"28 May m., 28 Mall, Nəsimi r.",E. Suleyman 33,2,80,12,19,"2 otaqlı, 12-ci mərtəbə, tam təmirli mənzil. Tam əşyalı: kondisioner, kombi, internet,2 balkon, Smart TV. 24 saat mühafizə, lift. 28 May metrosu və 28 Mall 10 dəqiqəlik məsafədə. Qiymət gün, bayram, sezon asılı olaraq dəyişə bilər. Saatlıq, ad günü, qeyri-etik məqsədlərlə verilmir. Əlaqə: zəng edin və ya WhatsApp yazın","Təmirli, Qaz, Su, İşıq, İnternet, Kabel TV, PVC pəncərə, Kombi, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli",Gulya (Əmlak sahibi),(055) 881-05-93,29.12.2025,628596,45,Xeyr,Xeyr,40.38398250443752,49.84432606788251,2026-01-01T15:02:21.029981
